ID,CREATE DATE,STATUS,PRIORITY,GEORAPHY,CLOSE DATE,AGE,Description
INC0040,2023-04-22,Closed,P2,US,2023-04-29,7,Desc for INC0040
INC0041,2023-02-25,Closed,P1,US,2023-02-26,1,Desc for INC0041
INC0042,2023-01-24,Closed,P4,US,2023-01-25,1,Desc for INC0042
INC0043,2023-03-11,New,P4,US,,131,Desc for INC0043
INC0044,2022-12-31,New,P2,Europe,,201,Desc for INC0044
INC0045,2023-03-25,New,P2,Europe,,117,Desc for INC0045
INC0046,2023-03-17,Closed,P3,Europe,2023-03-21,4,Desc for INC0046
INC0047,2023-02-08,Closed,P2,US,2023-02-10,2,Desc for INC0047
INC0048,2023-05-17,Closed,P2,Asia,2023-05-24,7,Desc for INC0048
INC0049,2023-05-06,Closed,P4,Asia,2023-05-09,3,Desc for INC0049
INC0050,2023-05-19,New,P3,Asia,,62,Desc for INC0050
INC0051,2022-12-08,WIP,P1,Europe,,224,Desc for INC0051
INC0052,2023-03-28,New,P4,US,,114,Desc for INC0052
INC0053,2023-01-11,WIP,P4,US,,190,Desc for INC0053
INC0054,2023-01-22,New,P1,US,,179,Desc for INC0054
INC0055,2023-05-29,New,P4,Asia,,52,Desc for INC0055
INC0056,2023-03-08,New,P2,Asia,,134,Desc for INC0056
INC0057,2023-04-16,New,P3,Europe,,95,Desc for INC0057
INC0058,2023-05-20,Closed,P1,US,2023-05-30,10,Desc for INC0058
INC0059,2023-06-03,WIP,P4,US,,47,Desc for INC0059
INC0060,2023-03-26,Closed,P4,Asia,2023-03-30,4,Desc for INC0060
INC0061,2023-03-30,Closed,P1,US,2023-04-11,12,Desc for INC0061
INC0062,2023-02-17,WIP,P2,US,,153,Desc for INC0062
INC0063,2023-04-25,Closed,P4,US,2023-05-14,19,Desc for INC0063
INC0064,2023-01-06,Closed,P4,US,2023-01-16,10,Desc for INC0064
INC0065,2023-02-03,Closed,P3,Asia,2023-02-06,3,Desc for INC0065
INC0066,2023-06-07,WIP,P1,US,,43,Desc for INC0066
INC0067,2023-02-10,New,P1,US,,160,Desc for INC0067
INC0068,2022-12-31,Closed,P2,US,2023-01-05,5,Desc for INC0068
INC0069,2023-04-03,New,P4,Europe,,108,Desc for INC0069
INC0070,2023-01-17,Closed,P2,Asia,2023-01-25,8,Desc for INC0070
INC0071,2022-12-29,New,P1,Asia,,203,Desc for INC0071
INC0072,2023-04-26,New,P2,US,,85,Desc for INC0072
INC0073,2022-12-17,WIP,P2,US,,215,Desc for INC0073
INC0074,2022-12-22,New,P2,US,,210,Desc for INC0074
INC0075,2023-03-15,New,P1,US,,127,Desc for INC0075
INC0076,2023-04-08,New,P2,US,,103,Desc for INC0076
INC0077,2023-01-17,Closed,P2,US,2023-01-18,1,Desc for INC0077
INC0078,2023-03-31,New,P3,Asia,,111,Desc for INC0078
INC0079,2023-03-06,New,P4,US,,136,Desc for INC0079
INC0080,2022-12-28,Closed,P1,US,2023-01-03,6,Desc for INC0080
INC0081,2023-01-04,New,P1,US,,197,Desc for INC0081
INC0082,2023-03-27,New,P2,Europe,,115,Desc for INC0082
INC0083,2023-02-16,WIP,P1,Europe,,154,Desc for INC0083
INC0084,2023-01-24,New,P1,Asia,,177,Desc for INC0084
INC0085,2023-04-19,WIP,P2,Europe,,92,Desc for INC0085
INC0086,2023-05-26,Closed,P2,Europe,2023-05-29,3,Desc for INC0086
INC0087,2023-03-19,Closed,P2,US,2023-03-25,6,Desc for INC0087
INC0088,2022-12-25,WIP,P1,US,,207,Desc for INC0088
INC0089,2023-01-16,New,P1,US,,185,Desc for INC0089
INC0090,2023-03-16,Closed,P4,Asia,2023-03-18,2,Desc for INC0090
INC0091,2023-06-07,New,P2,Asia,,43,Desc for INC0091
INC0092,2023-03-18,Closed,P2,US,2023-04-04,17,Desc for INC0092
INC0093,2023-04-20,New,P2,Asia,,91,Desc for INC0093
INC0094,2023-01-27,New,P1,US,,174,Desc for INC0094
INC0095,2023-05-17,Closed,P4,Europe,2023-05-24,7,Desc for INC0095
INC0096,2023-01-01,Closed,P2,US,2023-01-03,2,Desc for INC0096
INC0097,2023-06-10,Closed,P2,US,2023-06-11,1,Desc for INC0097
INC0098,2023-03-12,WIP,P2,US,,130,Desc for INC0098
INC0099,2023-03-15,Closed,P3,US,2023-03-15,0,Desc for INC0099
INC00100,2022-12-22,WIP,P2,Asia,,210,Desc for INC00100
INC00101,2023-01-14,Closed,P3,US,2023-01-14,0,Desc for INC00101
INC00102,2022-11-27,Closed,P4,US,2022-11-30,3,Desc for INC00102
INC00103,2022-12-10,Closed,P1,US,2022-12-11,1,Desc for INC00103
INC00104,2023-01-15,New,P2,US,,186,Desc for INC00104
INC00105,2023-01-26,Closed,P2,Europe,2023-02-07,12,Desc for INC00105
INC00106,2023-02-15,New,P2,Asia,,155,Desc for INC00106
INC00107,2023-05-12,Closed,P4,US,2023-05-18,6,Desc for INC00107
INC00108,2023-02-04,New,P4,US,,166,Desc for INC00108
INC00109,2023-03-08,New,P4,Europe,,134,Desc for INC00109
INC00110,2023-06-01,New,P1,Europe,,49,Desc for INC00110
INC00111,2023-03-24,Closed,P3,Europe,2023-04-02,9,Desc for INC00111
INC00112,2023-05-09,New,P3,US,,72,Desc for INC00112
INC00113,2023-02-01,New,P2,US,,169,Desc for INC00113
INC00114,2023-05-19,New,P2,US,,62,Desc for INC00114
INC00115,2023-04-01,New,P2,US,,110,Desc for INC00115
INC00116,2023-06-07,New,P2,US,,43,Desc for INC00116
INC00117,2023-04-21,WIP,P2,US,,90,Desc for INC00117
INC00118,2023-06-03,Closed,P2,US,2023-06-10,7,Desc for INC00118
INC00119,2022-12-29,New,P3,Asia,,203,Desc for INC00119
INC00120,2022-12-05,Closed,P2,Europe,2022-12-16,11,Desc for INC00120
INC00121,2023-02-04,WIP,P2,Europe,,166,Desc for INC00121
INC00122,2023-02-16,New,P1,Europe,,154,Desc for INC00122
INC00123,2023-02-04,Closed,P2,Europe,2023-02-04,0,Desc for INC00123
INC00124,2023-04-10,Closed,P4,Asia,2023-04-23,13,Desc for INC00124
INC00125,2022-12-10,New,P2,US,,222,Desc for INC00125
INC00126,2023-05-22,Closed,P2,Europe,2023-05-27,5,Desc for INC00126
INC00127,2023-06-07,New,P1,US,,43,Desc for INC00127
INC00128,2022-12-07,WIP,P1,Europe,,225,Desc for INC00128
INC00129,2023-05-17,New,P1,US,,64,Desc for INC00129
INC00130,2023-02-09,WIP,P1,US,,161,Desc for INC00130
INC00131,2023-03-21,New,P4,Europe,,121,Desc for INC00131
INC00132,2023-01-17,WIP,P1,US,,184,Desc for INC00132
INC00133,2023-02-09,Closed,P4,US,2023-02-14,5,Desc for INC00133
INC00134,2023-05-07,Closed,P1,US,2023-05-08,1,Desc for INC00134
INC00135,2023-03-16,Closed,P2,US,2023-03-17,1,Desc for INC00135
INC00136,2022-12-14,WIP,P2,US,,218,Desc for INC00136
INC00137,2023-06-01,Closed,P2,US,2023-06-11,10,Desc for INC00137
INC00138,2023-05-05,New,P2,US,,76,Desc for INC00138
INC00139,2023-05-10,Closed,P2,Asia,2023-05-19,9,Desc for INC00139
INC00140,2023-05-07,New,P2,Asia,,74,Desc for INC00140
INC00141,2023-01-01,Closed,P2,US,2023-01-04,3,Desc for INC00141
INC00142,2023-01-12,WIP,P3,Asia,,189,Desc for INC00142
INC00143,2022-12-29,Closed,P4,US,2022-12-29,0,Desc for INC00143
INC00144,2022-12-11,New,P2,US,,221,Desc for INC00144
INC00145,2023-05-26,Closed,P2,US,2023-05-26,0,Desc for INC00145
INC00146,2022-12-17,Closed,P3,Europe,2022-12-18,1,Desc for INC00146
INC00147,2023-04-18,New,P4,US,,93,Desc for INC00147
INC00148,2023-05-13,Closed,P2,US,2023-05-13,0,Desc for INC00148
INC00149,2023-03-19,Closed,P4,US,2023-03-19,0,Desc for INC00149
INC00150,2023-04-09,WIP,P2,Asia,,102,Desc for INC00150
INC00151,2023-03-06,Closed,P2,Europe,2023-03-09,3,Desc for INC00151
INC00152,2022-12-14,New,P3,US,,218,Desc for INC00152
INC00153,2023-02-01,New,P2,US,,169,Desc for INC00153
INC00154,2023-01-07,Closed,P2,US,2023-01-20,13,Desc for INC00154
INC00155,2023-06-12,Closed,P2,US,2023-06-11,-1,Desc for INC00155
INC00156,2023-01-31,WIP,P1,Europe,,170,Desc for INC00156
INC00157,2023-04-22,Closed,P3,Europe,2023-04-23,1,Desc for INC00157
INC00158,2023-04-05,Closed,P2,Europe,2023-04-10,5,Desc for INC00158
INC00159,2023-06-10,WIP,P2,US,,40,Desc for INC00159
INC00160,2023-04-02,New,P1,Asia,,109,Desc for INC00160
INC00161,2023-01-21,WIP,P2,US,,180,Desc for INC00161
INC00162,2023-05-16,Closed,P2,Asia,2023-05-21,5,Desc for INC00162
INC00163,2023-05-03,Closed,P3,Europe,2023-05-10,7,Desc for INC00163
INC00164,2023-03-16,New,P2,US,,126,Desc for INC00164
INC00165,2022-12-20,Closed,P4,US,2022-12-23,3,Desc for INC00165
INC00166,2023-01-08,New,P4,US,,193,Desc for INC00166
INC00167,2023-01-11,New,P1,Asia,,190,Desc for INC00167
INC00168,2023-02-07,Closed,P2,US,2023-02-08,1,Desc for INC00168
INC00169,2023-04-25,New,P4,Europe,,86,Desc for INC00169
INC00170,2023-01-12,New,P2,US,,189,Desc for INC00170
INC00171,2023-02-21,Closed,P3,US,2023-02-28,7,Desc for INC00171
INC00172,2023-02-10,New,P3,US,,160,Desc for INC00172
INC00173,2022-12-20,New,P2,Europe,,212,Desc for INC00173
INC00174,2023-02-20,New,P1,US,,150,Desc for INC00174
INC00175,2023-05-16,Closed,P2,Europe,2023-05-17,1,Desc for INC00175
INC00176,2023-05-18,New,P2,US,,63,Desc for INC00176
INC00177,2023-02-13,Closed,P2,US,2023-02-13,0,Desc for INC00177
INC00178,2023-02-07,Closed,P4,US,2023-02-14,7,Desc for INC00178
INC00179,2023-02-08,Closed,P1,Asia,2023-02-10,2,Desc for INC00179
INC00180,2023-05-10,New,P3,Asia,,71,Desc for INC00180
INC00181,2023-04-12,New,P3,US,,99,Desc for INC00181
INC00182,2023-06-02,New,P2,Asia,,48,Desc for INC00182
INC00183,2022-12-13,WIP,P4,US,,219,Desc for INC00183
INC00184,2023-06-10,Closed,P4,US,2023-06-11,1,Desc for INC00184
INC00185,2023-01-19,New,P1,Asia,,182,Desc for INC00185
INC00186,2023-04-07,WIP,P4,Asia,,104,Desc for INC00186
INC00187,2023-02-05,Closed,P2,Asia,2023-02-06,1,Desc for INC00187
INC00188,2023-05-24,New,P3,US,,57,Desc for INC00188
INC00189,2023-06-08,WIP,P2,US,,42,Desc for INC00189
INC00190,2023-03-14,New,P3,Europe,,128,Desc for INC00190
INC00191,2023-02-26,New,P3,Europe,,144,Desc for INC00191
INC00192,2023-03-12,New,P2,Europe,,130,Desc for INC00192
INC00193,2022-12-24,New,P2,US,,208,Desc for INC00193
INC00194,2022-12-19,Closed,P2,Asia,2022-12-19,0,Desc for INC00194
INC00195,2023-02-21,Closed,P4,Asia,2023-02-26,5,Desc for INC00195
INC00196,2023-04-09,WIP,P3,Asia,,102,Desc for INC00196
INC00197,2023-04-23,WIP,P4,US,,88,Desc for INC00197
INC00198,2023-04-07,WIP,P2,Asia,,104,Desc for INC00198
INC00199,2023-04-14,Closed,P2,US,2023-04-16,2,Desc for INC00199
INC00200,2023-02-13,WIP,P4,US,,157,Desc for INC00200
INC00201,2023-02-26,WIP,P4,US,,144,Desc for INC00201
INC00202,2023-03-21,Closed,P3,Europe,2023-04-01,11,Desc for INC00202
INC00203,2022-12-17,WIP,P4,US,,215,Desc for INC00203
INC00204,2023-06-04,WIP,P2,US,,46,Desc for INC00204
INC00205,2023-01-15,Closed,P2,Europe,2023-01-30,15,Desc for INC00205
INC00206,2023-02-11,New,P3,US,,159,Desc for INC00206
INC00207,2023-01-16,New,P3,Asia,,185,Desc for INC00207
INC00208,2022-12-29,Closed,P1,US,2023-01-01,3,Desc for INC00208
INC00209,2023-05-10,New,P1,Asia,,71,Desc for INC00209
INC00210,2023-03-17,WIP,P2,US,,125,Desc for INC00210
INC00211,2023-01-01,Closed,P2,US,2023-01-13,12,Desc for INC00211
INC00212,2023-04-26,WIP,P3,Asia,,85,Desc for INC00212
INC00213,2023-04-24,Closed,P4,US,2023-04-25,1,Desc for INC00213
INC00214,2023-05-28,New,P2,US,,53,Desc for INC00214
INC00215,2023-01-30,Closed,P3,US,2023-02-05,6,Desc for INC00215
INC00216,2023-03-30,WIP,P2,Asia,,112,Desc for INC00216
INC00217,2023-02-13,Closed,P2,US,2023-02-22,9,Desc for INC00217
INC00218,2022-12-03,WIP,P1,US,,229,Desc for INC00218
INC00219,2023-05-17,WIP,P3,Asia,,64,Desc for INC00219
INC00220,2023-01-31,New,P2,Asia,,170,Desc for INC00220
INC00221,2023-03-19,Closed,P3,Europe,2023-03-21,2,Desc for INC00221
INC00222,2023-06-04,New,P3,US,,46,Desc for INC00222
INC00223,2023-01-03,Closed,P2,Asia,2023-01-13,10,Desc for INC00223
INC00224,2023-04-02,WIP,P1,Asia,,109,Desc for INC00224
INC00225,2023-05-13,Closed,P1,US,2023-05-25,12,Desc for INC00225
INC00226,2023-04-23,WIP,P4,US,,88,Desc for INC00226
INC00227,2022-12-05,New,P4,Europe,,227,Desc for INC00227
INC00228,2023-03-15,WIP,P3,US,,127,Desc for INC00228
INC00229,2023-05-24,Closed,P3,US,2023-06-01,8,Desc for INC00229
INC00230,2023-05-07,New,P2,Europe,,74,Desc for INC00230
INC00231,2022-12-31,Closed,P2,US,2023-01-09,9,Desc for INC00231
INC00232,2023-02-19,Closed,P2,US,2023-02-22,3,Desc for INC00232
INC00233,2023-04-27,Closed,P2,US,2023-05-08,11,Desc for INC00233
INC00234,2022-12-26,WIP,P4,US,,206,Desc for INC00234
INC00235,2023-05-24,WIP,P3,US,,57,Desc for INC00235
INC00236,2023-02-13,WIP,P2,Europe,,157,Desc for INC00236
INC00237,2023-06-10,New,P2,Europe,,40,Desc for INC00237
INC00238,2023-03-06,WIP,P2,Asia,,136,Desc for INC00238
INC00239,2023-04-12,New,P2,US,,99,Desc for INC00239
INC00240,2023-06-01,Closed,P1,US,2023-06-02,1,Desc for INC00240
INC00241,2022-12-29,Closed,P4,Europe,2023-01-04,6,Desc for INC00241
INC00242,2023-04-09,New,P2,US,,102,Desc for INC00242
INC00243,2023-04-15,Closed,P2,Asia,2023-04-26,11,Desc for INC00243
INC00244,2022-12-19,New,P2,Asia,,213,Desc for INC00244
INC00245,2023-02-16,Closed,P4,US,2023-02-17,1,Desc for INC00245
INC00246,2023-05-05,New,P2,Asia,,76,Desc for INC00246
INC00247,2023-02-22,New,P2,US,,148,Desc for INC00247
INC00248,2023-01-12,New,P1,US,,189,Desc for INC00248
INC00249,2023-05-14,WIP,P1,US,,67,Desc for INC00249
INC00250,2023-04-12,New,P4,US,,99,Desc for INC00250
INC00251,2023-04-05,Closed,P2,US,2023-04-08,3,Desc for INC00251
INC00252,2023-04-29,New,P1,US,,82,Desc for INC00252
INC00253,2022-11-25,WIP,P2,Asia,,237,Desc for INC00253
INC00254,2023-01-15,WIP,P4,Asia,,186,Desc for INC00254
INC00255,2023-06-09,New,P1,US,,41,Desc for INC00255
INC00256,2023-05-05,Closed,P2,US,2023-05-13,8,Desc for INC00256
INC00257,2023-05-12,New,P1,Europe,,69,Desc for INC00257
INC00258,2023-04-17,Closed,P2,US,2023-04-17,0,Desc for INC00258
INC00259,2023-02-16,Closed,P1,Asia,2023-02-19,3,Desc for INC00259
INC00260,2023-03-04,Closed,P4,Asia,2023-03-07,3,Desc for INC00260
INC00261,2023-01-07,New,P3,Europe,,194,Desc for INC00261
INC00262,2022-12-14,Closed,P3,Asia,2022-12-14,0,Desc for INC00262
INC00263,2023-01-31,New,P3,US,,170,Desc for INC00263
INC00264,2023-01-21,Closed,P4,Europe,2023-01-30,9,Desc for INC00264
INC00265,2022-12-22,Closed,P4,US,2022-12-25,3,Desc for INC00265
INC00266,2023-02-27,New,P4,US,,143,Desc for INC00266
INC00267,2023-02-09,Closed,P1,US,2023-02-11,2,Desc for INC00267
INC00268,2023-01-13,WIP,P4,Europe,,188,Desc for INC00268
INC00269,2023-06-03,New,P3,US,,47,Desc for INC00269
INC00270,2023-04-03,New,P4,US,,108,Desc for INC00270
INC00271,2023-01-29,New,P2,Europe,,172,Desc for INC00271
INC00272,2023-05-30,Closed,P3,Europe,2023-06-01,2,Desc for INC00272
INC00273,2023-01-14,Closed,P2,US,2023-01-22,8,Desc for INC00273
INC00274,2022-12-29,New,P2,US,,203,Desc for INC00274
INC00275,2023-01-20,New,P2,Asia,,181,Desc for INC00275
INC00276,2022-12-28,New,P4,Europe,,204,Desc for INC00276
INC00277,2023-04-16,Closed,P2,US,2023-04-25,9,Desc for INC00277
INC00278,2023-02-09,Closed,P4,Europe,2023-02-09,0,Desc for INC00278
INC00279,2023-02-28,New,P2,US,,142,Desc for INC00279
INC00280,2023-06-11,WIP,P2,US,,39,Desc for INC00280
INC00281,2023-03-16,WIP,P2,US,,126,Desc for INC00281
INC00282,2023-01-21,New,P2,US,,180,Desc for INC00282
INC00283,2023-02-27,WIP,P2,US,,143,Desc for INC00283
INC00284,2023-04-24,New,P3,US,,87,Desc for INC00284
INC00285,2023-01-25,Closed,P2,US,2023-01-25,0,Desc for INC00285
INC00286,2023-04-25,Closed,P4,Asia,2023-04-25,0,Desc for INC00286
INC00287,2022-11-26,Closed,P1,US,2022-12-01,5,Desc for INC00287
INC00288,2022-12-25,New,P1,Asia,,207,Desc for INC00288
INC00289,2023-03-09,New,P4,US,,133,Desc for INC00289
INC00290,2023-03-01,New,P4,US,,141,Desc for INC00290
INC00291,2023-05-03,Closed,P1,US,2023-05-04,1,Desc for INC00291
INC00292,2022-12-19,New,P4,US,,213,Desc for INC00292
INC00293,2023-02-01,New,P4,US,,169,Desc for INC00293
INC00294,2023-05-30,Closed,P4,US,2023-06-06,7,Desc for INC00294
INC00295,2023-02-18,New,P1,US,,152,Desc for INC00295
INC00296,2023-03-09,Closed,P2,US,2023-03-13,4,Desc for INC00296
INC00297,2023-02-22,Closed,P2,Asia,2023-02-26,4,Desc for INC00297
INC00298,2022-11-30,Closed,P4,US,2022-12-02,2,Desc for INC00298
INC00299,2023-02-20,New,P4,Asia,,150,Desc for INC00299
INC00300,2023-04-24,WIP,P2,US,,87,Desc for INC00300
INC00301,2023-02-26,New,P1,US,,144,Desc for INC00301
INC00302,2023-05-15,WIP,P2,US,,66,Desc for INC00302
INC00303,2023-03-06,Closed,P2,US,2023-03-26,20,Desc for INC00303
INC00304,2023-01-28,WIP,P2,US,,173,Desc for INC00304
INC00305,2023-01-28,WIP,P1,Asia,,173,Desc for INC00305
INC00306,2023-05-19,WIP,P1,Asia,,62,Desc for INC00306
INC00307,2023-05-07,New,P2,Europe,,74,Desc for INC00307
INC00308,2023-04-28,WIP,P2,US,,83,Desc for INC00308
INC00309,2022-12-31,Closed,P4,Europe,2022-12-31,0,Desc for INC00309
INC00310,2023-05-06,Closed,P4,US,2023-05-15,9,Desc for INC00310
INC00311,2023-05-13,New,P4,Europe,,68,Desc for INC00311
INC00312,2022-11-27,Closed,P3,US,2022-12-02,5,Desc for INC00312
INC00313,2023-01-30,New,P2,US,,171,Desc for INC00313
INC00314,2023-06-10,Closed,P3,US,2023-06-10,0,Desc for INC00314
INC00315,2023-04-26,New,P1,US,,85,Desc for INC00315
INC00316,2023-06-08,New,P4,Asia,,42,Desc for INC00316
INC00317,2023-02-18,New,P3,US,,152,Desc for INC00317
INC00318,2023-03-26,New,P2,Asia,,116,Desc for INC00318
INC00319,2023-03-03,Closed,P2,US,2023-03-03,0,Desc for INC00319
INC00320,2023-03-31,Closed,P3,US,2023-03-31,0,Desc for INC00320
INC00321,2023-01-01,Closed,P4,US,2023-01-02,1,Desc for INC00321
INC00322,2023-04-09,Closed,P4,Europe,2023-04-11,2,Desc for INC00322
INC00323,2022-11-30,Closed,P2,Europe,2022-12-07,7,Desc for INC00323
INC00324,2023-03-14,Closed,P1,Asia,2023-03-16,2,Desc for INC00324
INC00325,2023-05-20,New,P2,US,,61,Desc for INC00325
INC00326,2023-06-05,Closed,P4,Asia,2023-06-08,3,Desc for INC00326
INC00327,2023-05-08,New,P2,Europe,,73,Desc for INC00327
INC00328,2023-01-05,WIP,P1,US,,196,Desc for INC00328
INC00329,2023-05-14,Closed,P2,Europe,2023-05-16,2,Desc for INC00329
INC00330,2023-03-31,New,P2,US,,111,Desc for INC00330
INC00331,2023-05-23,WIP,P4,US,,58,Desc for INC00331
INC00332,2022-11-29,New,P2,US,,233,Desc for INC00332
INC00333,2023-01-30,Closed,P3,US,2023-01-30,0,Desc for INC00333
INC00334,2023-03-08,New,P2,Europe,,134,Desc for INC00334
INC00335,2023-02-16,New,P3,US,,154,Desc for INC00335
INC00336,2023-03-02,New,P4,Europe,,140,Desc for INC00336
INC00337,2022-12-06,Closed,P4,Europe,2022-12-10,4,Desc for INC00337
INC00338,2023-02-25,New,P3,US,,145,Desc for INC00338
INC00339,2023-02-28,Closed,P2,US,2023-03-09,9,Desc for INC00339
INC00340,2023-02-16,Closed,P2,US,2023-02-25,9,Desc for INC00340
INC00341,2023-03-24,WIP,P2,US,,118,Desc for INC00341
INC00342,2022-11-29,Closed,P3,US,2022-12-02,3,Desc for INC00342
INC00343,2023-04-22,New,P3,US,,89,Desc for INC00343
INC00344,2023-02-25,WIP,P3,US,,145,Desc for INC00344
INC00345,2023-03-02,WIP,P4,Asia,,140,Desc for INC00345
INC00346,2023-03-08,Closed,P2,US,2023-03-08,0,Desc for INC00346
INC00347,2023-04-16,New,P4,US,,95,Desc for INC00347
INC00348,2023-04-27,New,P2,US,,84,Desc for INC00348
INC00349,2023-04-02,Closed,P2,US,2023-04-06,4,Desc for INC00349
INC00350,2022-12-11,New,P2,US,,221,Desc for INC00350
INC00351,2023-05-14,Closed,P3,US,2023-05-15,1,Desc for INC00351
INC00352,2023-06-07,New,P2,US,,43,Desc for INC00352
INC00353,2023-02-09,New,P1,US,,161,Desc for INC00353
INC00354,2022-12-15,Closed,P4,US,2022-12-23,8,Desc for INC00354
INC00355,2023-05-12,New,P4,Europe,,69,Desc for INC00355
INC00356,2022-12-02,Closed,P4,US,2022-12-20,18,Desc for INC00356
INC00357,2023-03-22,New,P2,US,,120,Desc for INC00357
INC00358,2023-05-11,New,P3,US,,70,Desc for INC00358
INC00359,2023-06-11,Closed,P3,Asia,2023-06-11,0,Desc for INC00359
INC00360,2023-04-16,Closed,P1,US,2023-04-16,0,Desc for INC00360
INC00361,2023-03-14,WIP,P2,US,,128,Desc for INC00361
INC00362,2023-02-22,Closed,P2,US,2023-03-02,8,Desc for INC00362
INC00363,2022-12-15,New,P1,Asia,,217,Desc for INC00363
INC00364,2023-04-28,Closed,P2,US,2023-04-28,0,Desc for INC00364
INC00365,2022-12-01,New,P1,US,,231,Desc for INC00365
INC00366,2023-03-08,New,P2,US,,134,Desc for INC00366
INC00367,2023-03-04,New,P2,Europe,,138,Desc for INC00367
INC00368,2022-12-07,Closed,P2,US,2022-12-07,0,Desc for INC00368
INC00369,2022-12-20,New,P2,Europe,,212,Desc for INC00369
INC00370,2023-02-23,New,P2,Europe,,147,Desc for INC00370
INC00371,2023-01-07,WIP,P4,US,,194,Desc for INC00371
INC00372,2023-03-23,New,P1,Europe,,119,Desc for INC00372
INC00373,2023-02-17,Closed,P4,US,2023-02-20,3,Desc for INC00373
INC00374,2023-04-14,Closed,P2,Asia,2023-04-14,0,Desc for INC00374
INC00375,2023-04-11,Closed,P1,Europe,2023-04-15,4,Desc for INC00375
INC00376,2023-04-05,WIP,P2,Asia,,106,Desc for INC00376
INC00377,2022-12-25,Closed,P2,US,2022-12-25,0,Desc for INC00377
INC00378,2023-02-13,New,P1,US,,157,Desc for INC00378
INC00379,2023-05-05,Closed,P4,US,2023-05-07,2,Desc for INC00379
INC00380,2023-01-05,Closed,P3,US,2023-01-05,0,Desc for INC00380
INC00381,2023-02-04,Closed,P4,Europe,2023-02-04,0,Desc for INC00381
INC00382,2023-04-25,New,P2,Europe,,86,Desc for INC00382
INC00383,2023-05-02,Closed,P2,US,2023-05-02,0,Desc for INC00383
INC00384,2023-01-04,WIP,P4,US,,197,Desc for INC00384
INC00385,2023-05-23,Closed,P1,US,2023-06-11,19,Desc for INC00385
INC00386,2023-05-16,WIP,P1,US,,65,Desc for INC00386
INC00387,2023-06-12,Closed,P2,US,2023-06-11,-1,Desc for INC00387
INC00388,2023-01-19,New,P4,US,,182,Desc for INC00388
INC00389,2022-12-22,Closed,P1,US,2023-01-01,10,Desc for INC00389
INC00390,2023-05-09,WIP,P2,US,,72,Desc for INC00390
INC00391,2023-01-26,New,P2,Europe,,175,Desc for INC00391
INC00392,2023-01-28,New,P2,US,,173,Desc for INC00392
